doc_id,filing_datetime,doc_type_name,doc_type_code_used,filer_name,filer_name_en,ticker,fiscal_year_end,accounting_standard,net_sales,operating_income,net_income,assets,liabilities,equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,roe,equity_ratio
S100XFMU,2026-01-14 13:21:00,Semi-Annual Report,160,ダイコー通産株式会社,,,,,,607052000.0,,,,,,,,,
S100XF40,2026-01-14 13:30:00,Semi-Annual Report,160,小津産業株式会社,,,,,,401034000.0,,,,,,,,,
S100XFPV,2026-01-14 14:03:00,Semi-Annual Report,160,株式会社京進,,,,,,142331000.0,,,,,,,,,
S100XFFV,2026-01-14 14:55:00,Semi-Annual Report,160,株式会社D&amp;Mカンパニー,,,,,,158956000.0,,,,,,,,,
S100XFD7,2026-01-14 15:08:00,Semi-Annual Report,160,タケダ機械株式会社,,,,,,286648000.0,,,,,,,,,
S100XFIE,2026-01-14 15:26:00,Semi-Annual Report,160,日本国土開発株式会社,,,,,,2731000000.0,,,,,,,,,
S100XFOX,2026-01-14 15:30:00,Semi-Annual Report,160,株式会社GameWith,,,,,,-174917000.0,,,,,,,,,
S100XF6B,2026-01-14 15:30:00,Semi-Annual Report,160,グロービング株式会社,,,,,,1428505000.0,,,,,,,,,
S100XFMJ,2026-01-14 15:30:00,Semi-Annual Report,160,株式会社Globee,,,,,,221546000.0,,,,,,,,,
S100XFKD,2026-01-14 15:30:00,Semi-Annual Report,160,株式会社パシフィックネット,,,,,,315243000.0,,,,,,,,,
S100XFR8,2026-01-14 15:30:00,Semi-Annual Report,160,株式会社ジーデップ・アドバンス,,,,,,498540000.0,,,,,,,,,
S100XFOS,2026-01-14 15:30:00,Semi-Annual Report,160,東海ソフト株式会社,,,,,,733221000.0,,,,,,,,,
S100XFN1,2026-01-14 15:30:00,Semi-Annual Report,160,株式会社シーラホールディングス,,,,,,1799000000.0,,,,,,,,,
S100XFLE,2026-01-14 15:30:00,Semi-Annual Report,160,株式会社アクセルスペースホールディングス,,,,,,-1119116000.0,,,,,,,,,
S100XFCO,2026-01-14 15:30:00,Semi-Annual Report,160,株式会社メディカルネット,,,,,,47604000.0,,,,,,,,,
S100XFM2,2026-01-14 15:30:00,Semi-Annual Report,160,株式会社レント,,,,,,2574453000.0,,,,,,,,,
S100XFCT,2026-01-14 15:30:00,Semi-Annual Report,160,株式会社パソナグループ,,,,,,44000000.0,,,,,,,,,
S100XFQN,2026-01-14 15:30:00,Semi-Annual Report,160,ジェイフロンティア株式会社,,,,,,27073000.0,,,,,,,,,
S100XFGH,2026-01-14 15:30:00,Semi-Annual Report,160,株式会社　サカタのタネ,,,,,,5672000000.0,,,,,,,,,
S100XENZ,2026-01-14 15:31:00,Semi-Annual Report,160,エレベーターコミュニケーションズ株式会社,,,,,,99508000.0,,,,,,,,,
S100XFDE,2026-01-14 15:31:00,Semi-Annual Report,160,株式会社ＩＧポート,,,,,,825749000.0,,,,,,,,,
S100XFM9,2026-01-14 15:31:00,Semi-Annual Report,160,Sansan株式会社,,,,,,183000000.0,,,,,,,,,
S100XFOR,2026-01-14 15:32:00,Semi-Annual Report,160,SUMINOE株式会社,,,,,,742000000.0,,,,,,,,,
S100XFQV,2026-01-14 15:33:00,Semi-Annual Report,160,ＰｏｓｔＰｒｉｍｅ株式会社,,,,,,147982000.0,,,,,,,,,
S100XFF7,2026-01-14 15:33:00,Semi-Annual Report,160,株式会社シー・エス・ランバー,,,,,,859006000.0,,,,,,,,,
S100XFQC,2026-01-14 15:37:00,Semi-Annual Report,160,佐鳥電機株式会社,,,,,,2057000000.0,,,,,,,,,
S100XFRD,2026-01-14 15:38:00,Semi-Annual Report,160,株式会社ロゴスホールディングス,,,,,,-583781000.0,,,,,,,,,
S100XFI3,2026-01-14 15:39:00,Semi-Annual Report,160,大黒天物産株式会社,,,,,,4663000000.0,,,,,,,,,
S100XEJG,2026-01-14 15:50:00,Semi-Annual Report,160,株式会社コスモス薬品,,,,,,20344000000.0,,,,,,,,,
S100XFPQ,2026-01-14 15:55:00,Semi-Annual Report,160,ＴＯＮＥ株式会社,,,,,,514142000.0,,,,,,,,,
S100XFDD,2026-01-14 15:56:00,Semi-Annual Report,160,インテグループ株式会社,,,,,,530668000.0,,,,,,,,,
S100XFRS,2026-01-14 15:57:00,Semi-Annual Report,160,株式会社テーオーホールディングス,,,,,,211651000.0,,,,,,,,,
S100XFRZ,2026-01-14 15:58:00,Semi-Annual Report,160,フィードフォースグループ株式会社,,,,,,666000000.0,,,,,,,,,
S100XFNR,2026-01-14 16:00:00,Semi-Annual Report,160,サイバーステップホールディングス株式会社,,,,,,-1124000000.0,,,,,,,,,
S100XFJ2,2026-01-14 16:01:00,Semi-Annual Report,160,日本エンタープライズ株式会社,,,,,,12493000.0,,,,,,,,,
S100XFQT,2026-01-14 16:02:00,Semi-Annual Report,160,室町ケミカル株式会社,,,,,,154486000.0,,,,,,,,,
S100XFNC,2026-01-14 16:05:00,Semi-Annual Report,160,株式会社三機サービス,,,,,,335138000.0,,,,,,,,,
S100XFBE,2026-01-14 16:05:00,Semi-Annual Report,160,株式会社エムビーエス,,,,,,277053000.0,,,,,,,,,
S100XFIM,2026-01-14 16:14:00,Semi-Annual Report,160,ダイト株式会社,,,,,,1471000000.0,,,,,,,,,
S100XEU8,2026-01-14 16:19:00,Semi-Annual Report,160,ヤマシタヘルスケアホールディングス株式会社,,,,,,522000000.0,,,,,,,,,
S100XFSP,2026-01-14 16:25:00,Semi-Annual Report,160,株式会社Ｅｎｊｉｎ,,,,,,404534000.0,,,,,,,,,
S100XFOC,2026-01-14 16:28:00,Semi-Annual Report,160,キャリアバンク株式会社,,,,,,32471000.0,,,,,,,,,
S100XFRZ,2026-01-14 15:58:00,Semi-Annual Report,160,フィードフォースグループ株式会社,,,,,,666000000.0,,,,,,,,,
